ime,drzava,leto,rang,miza
Riga Open | LNC,Latvia,2014,Masters,table_17
Warrior Runaway Bay,United States,2014,Masters,table_81
Sofia Open 2014,,2014,Pro Tour,table_18
Thun Pro Tour,Switzerland,2014,Pro Tour,table_17
APFM Camana,Peru,2014,International,table_29
Czech Leonhart Open III,Czech Republic,2014,Masters,table_28
Pro Tour Amsterdam 2014,Netherlands,2014,Pro Tour,table_28
Austrian National Championships,Austria,2014,Masters,table_17
II. Multitable Pro tour 2014/15,Slovakia,2014,Pro Tour,table_23
Foosin Christmas,Lithuania,2014,Pro Tour,table_17
Münsteraner Stadtmeisterschaft,Germany,2014,Masters,table_28
10ème Tournoi Bonzini de Montréal,Canada,2015,Pro Tour,table_16
2015 South African Open,South Africa,2015,Pro Tour,table_23
Pro Tour Segré 2015,France,2015,Pro Tour,table_16
Pro Tour Peru Open 2015,Peru,2015,Pro Tour,table_29
Danube Open 2015,Austria,2015,Masters,table_17
Latvian Open,Latvia,2015,Pro Tour,table_17
Hoenheim Open 2015,France,2015,Masters,table_16
Balkan Cup Slovenia,Slovenia,2015,Pro Tour,table_18
Hector Leonhart Open,Czech Republic,2015,Pro Tour,table_28
Pro Tour Quebec 2015,Canada,2015,Pro Tour,table_16
III. ITSF Multitable Pro Tour 2014/15,Slovakia,2015,Pro Tour,table_23
Pro Tour Lisboa 2015,Portugal,2015,Pro Tour,table_18
2. Mittelhessische Meisterschaft,Germany,2015,Masters,table_28
World Cup 2015,Italy,2015,World Cup,table_23
2015 Taichung Foosball Open,Chinese Taipei,2015,Masters,table_29
Kentucky State Championships,United States,2015,Pro Tour,table_22
Hannover ITSF Masters,Germany,2015,Masters,table_28
Pro Tour Evry 2015,France,2015,Pro Tour,table_16
Foos-Shop Challenge,Lithuania,2015,Pro Tour,table_17
World Championship Series Bonzini 2015,France,2015,WS,table_16
Illinois State Championships 2015,United States,2015,Pro Tour,table_22
Texas State Championships 2015,United States,2015,Masters,table_22
Berlin Open,Germany,2015,Masters,table_28
Club Foos Pro Tour Rotterdam,Netherlands,2015,Pro Tour,table_28
Pro Tour Franconville 2015,France,2015,Pro Tour,table_16
International Polish Garlando Championships,Poland,2015,Pro Tour,table_17
Jago Inter Cup 2015,,2015,Pro Tour,table_18
Baltic cup | Riga 1st Round,Latvia,2015,Masters,table_17
Czech Leonhart Championship,Czech Republic,2015,Masters,table_28
Battle in the Mountains ,United States,2015,Pro Tour,table_22
IV. Hungarian Leonhart Open,Hungary,2015,Pro Tour,table_28
Desert Classic 2015,United States,2015,Masters,table_81
China Table Soccer Open,China,2015,International,table_29
Balkan Cup Croatia,Croatia,2015,Pro Tour,table_18
Hereford Garlando Open,United Kingdom,2015,Pro Tour,table_17
Open Luxembourg,Luxembourg,2015,Masters,table_28
Brasil Open 2015,Brazil,2015,Pro Tour,table_23
Münster Open,Germany,2015,Masters,table_28
National Championships &amp; North American Cup,United States,2015,Masters,table_22
European Champions League 2015,Austria,2015,ECL,table_23
World Championship Series Garlando 2015,Austria,2015,WS,table_17
South Carolina State Championships,United States,2015,Pro Tour,table_16
Buenos Aires Open 2015,Argentina,2015,Masters,table_104
Asia Cup,Malaysia,2015,International,table_29
Lake Challenger,Austria,2015,Pro Tour,table_17
Szeligi Open Game 2015,Poland,2015,Pro Tour,table_17
Louisiana State Championships 2015,United States,2015,Pro Tour,table_22
II. Pro Tour Lisboa 2015,Portugal,2015,Pro Tour,table_18
1. Saarland Open,Germany,2015,Pro Tour,table_16
San Jorge Open 2015,Argentina,2015,Pro Tour,table_104
Tokai Open 2015,Japan,2015,Pro Tour,table_22
Baltic Cup 2nd round Helsinki,Finland,2015,Masters,table_17
Hong Kong Foosball Open,Hong Kong,2015,Pro Tour,table_29
Simmental Open 2015,Switzerland,2015,Pro Tour,table_17
Warrior Summer Splash,United States,2015,Masters,table_81
Tornado German Open,Germany,2015,International,table_22
Danish Open 2015,Denmark,2015,Masters,table_16
International Series Tornado ,United States,2015,International,table_22
I. ITSF Multitable Pro tour 2015/16,Slovakia,2015,Pro Tour,table_23
 Moscow Sokolniki Open 2015 Pro Tour,ROC,2015,Pro Tour,table_17
World Championship Series Leonhart 2015,Germany,2015,WS,table_28
Riga &quot;Autumn&quot; Open 2015,Latvia,2015,Pro Tour,table_17
Sofia Open 2015,Bulgaria,2015,Pro Tour,table_18
Championnat Canadien Bonzini 2015,Canada,2015,Masters,table_16
Nebraska State Table Soccer Championships,United States,2015,Pro Tour,table_22
Floresta Open 2015,Argentina,2015,Pro Tour,table_104
Sofia Grand Masters 2015,Bulgaria,2015,Masters,table_18
North Carolina State Foosball Championships,United States,2015,Masters,table_16
Colorado State Table Soccer Championships,United States,2015,Masters,table_22
West Tokyo Open,Japan,2015,Pro Tour,table_22
2015 Kaohsiung Open,Chinese Taipei,2015,International,table_29
San Isidro Open 2015,Argentina,2015,Pro Tour,table_104
NRW Pro Tour Open,Germany,2015,Pro Tour,table_28
Balkan Open 2015,Bulgaria,2015,Pro Tour,table_18
US Open Championships 2015,United States,2015,Masters,table_22
Pro Tour Gauchy Open 2015,France,2015,Pro Tour,table_16
Brazilian Championship 2015,Brazil,2015,International,table_23
Balkan Cup Serbia 2015,Serbia,2015,Pro Tour,table_18
Deutsch-Französische-Tischfußball Tage,Germany,2015,Masters,table_16
Tischfussball Staatsmeisterschaft 2015 / Austrian Tablesoccer Championship 2015,Austria,2015,Masters,table_17
Sofia International Series 2015,Bulgaria,2015,International,table_18
Pro Tour 2Bok2,Spain,2015,Pro Tour,table_28
Baltic Cup ITSF Master Series | Vilnius 2015,Lithuania,2015,Masters,table_17
Romanian Bonzini Masters 2015,Romania,2015,Masters,table_16
16th Annual Bart O&#039;Hearn Celebration,United States,2015,Masters,table_22
Majeur de Québec AQBB,Canada,2015,Pro Tour,table_16
Guarapari Open 2015,Brazil,2015,Pro Tour,table_23
Open Montreuil sur Mer 2015,France,2015,Masters,table_16
Victorian Open 2015,Australia,2015,Pro Tour,table_29
Tablesoccer Switzerland Pro Tour 2015,Switzerland,2015,Pro Tour,table_17
Australian Open 2015,Australia,2015,Masters,table_29
Master Series APFM Peru 2015,Peru,2015,Masters,table_29
East Anglian Open 2015,United Kingdom,2015,Masters,table_17
Open Copa Levante 2015,Spain,2015,Pro Tour,table_18
Shanghai Open 2015,China,2015,Masters,table_29
Master-series Saint-Petersburg  Open 2015,ROC,2015,Masters,table_17
Vitória Open 2015,Brazil,2015,Pro Tour,table_23
2. Saarland Open,Germany,2015,Pro Tour,table_16
Pielachtal Open ,Austria,2015,Pro Tour,table_17
Minsk Open 2015,Belarus,2015,Pro Tour,table_17
Club Foos Masters Amsterdam,Netherlands,2016,Masters,table_28
Santa Fe Championship 2016,Argentina,2016,Pro Tour,table_104
Danube Open Challenger ,Austria,2016,Pro Tour,table_17
Pro Tour Montreal 2016,Canada,2016,Pro Tour,table_16
Pro Tour Evry 2016,France,2016,Pro Tour,table_16
Hector Leonhart Open 2016,Czech Republic,2016,Pro Tour,table_28
Kentucky State Championship ,United States,2016,Masters,table_22
Greenstone Mall International Open,South Africa,2016,Pro Tour,table_23
Florida State Championships,United States,2016,Pro Tour,table_22
II. ITSF Multitable Pro Tour 2015/16,Slovakia,2016,Pro Tour,table_23
Hradec Kralove Championship,Czech Republic,2016,Pro Tour,table_28
South Carolina State Championships,United States,2016,Pro Tour,table_16
Canadian National Championships,Canada,2016,Pro Tour,table_23
Pro Tour Peru Open 1 - 2016,Peru,2016,Pro Tour,table_29
Manila Bay Open,Philippines,2016,Masters,table_29
Winter Pro | Riga,Latvia,2016,Pro Tour,table_17
TSS Goldach Pro Tour,Switzerland,2016,Pro Tour,table_17
Pro Tour Segré 2016,France,2016,Pro Tour,table_16
Reutlingen Pro Tour,Germany,2016,Pro Tour,table_28
International Series Hall of Fame Classic,United States,2016,International,table_22
InterContinental Cup 2016,United States,2016,InterCCup,table_23
18th Czech Championships 2016,Czech Republic,2016,Pro Tour,table_19
Floresta Tour,Argentina,2016,Pro Tour,table_104
Majeur de Québec,Canada,2016,Pro Tour,table_16
Master Series Hoenheim 2016,France,2016,Masters,table_16
Czech Leonhart Championship 2016,Czech Republic,2016,Masters,table_28
Jago Foos Adventure ,Bulgaria,2016,Pro Tour,table_23
New York State Junior Individual &amp; Team Championship,United States,2016,Pro Tour,table_23
Hungarian Leonhart Open 2016,Hungary,2016,Pro Tour,table_28
2016 Asia Foosball Classic,Chinese Taipei,2016,International,table_29
Illinois State Championship,United States,2016,Pro Tour,table_22
San Francisco Open,Argentina,2016,Pro Tour,table_23
Pro Tour Braga,Portugal,2016,Pro Tour,table_18
Hamburg Pro Tour,Germany,2016,Pro Tour,table_28
Pro Tour Peru Open 2 - 2016,Peru,2016,Pro Tour,table_29
II. Slovensky Pohar 2015/16_Brezno (Rosengart),Slovakia,2016,Pro Tour,table_19
Birmingham Open,United Kingdom,2016,Pro Tour,table_17
Copenhagen Open,Denmark,2016,Pro Tour,table_16
Maryland State Foosball Championship 2016,United States,2016,Masters,table_22
Warrior Open,Brazil,2016,Masters,table_81
Czech Tornado Open,Czech Republic,2016,Masters,table_22
CNFT2 Pro Tour Sainte Savine 2016,France,2016,Pro Tour,table_18
European Champions League,France,2016,ECL,table_23
World Series by Bonzini 2016,France,2016,WS,table_16
Buenos Aires Open,Argentina,2016,International,table_104
Seoul Open,South Korea,2016,Pro Tour,table_29
Berlin Masters,Germany,2016,Masters,table_28
FoosForLife Roznov pod Radhostem Championship,Czech Republic,2016,Pro Tour,table_28
Pro Tour Mondeville 2016,France,2016,Pro Tour,table_28
Slovak Championships Rosengart 2016,Slovakia,2016,Masters,table_19
Texas State Championships,United States,2016,Masters,table_22
Final de España 2016,Spain,2016,International,table_117
Vienna Open,Austria,2016,Pro Tour,table_17
Rotterdam Foosball Open,Netherlands,2016,Masters,table_28
Pro Tour Trois-Rivières 2016,Canada,2016,Pro Tour,table_16
Jago Inter Cup II,Bulgaria,2016,Pro Tour,table_18
Master-series Saint-Petersburg  Open 2016,ROC,2016,Masters,table_17
Tornado German Open,Germany,2016,International,table_22
California State Championships,United States,2016,Masters,table_81
Master Series Peru Open 2016,Peru,2016,Masters,table_29
Capixaba Open 2016,Brazil,2016,Pro Tour,table_23
Belarus Open 2016,Belarus,2016,Pro Tour,table_17
National Championships,United States,2016,Masters,table_22
Varna Foosball Open,Bulgaria,2016,Pro Tour,table_29
Nordeus IGF - Srbija open 2016,Serbia,2016,Pro Tour,table_18
World Series by Garlando 2016,Austria,2016,WS,table_17
International Series - Peru 2016,Peru,2016,International,table_29
Szeligi Open Game 2016,Poland,2016,Pro Tour,table_17
Lake Challenger ,Austria,2016,Pro Tour,table_17
Warrior East Coast Regional ,United States,2016,International,table_81
Queensland Open,Australia,2016,Pro Tour,table_29
Costa Rica Open ,Costa Rica,2016,Pro Tour,table_22
Vila Velha Open,Brazil,2016,Masters,table_18
Balkan Cup Slovenia,Slovenia,2016,Pro Tour,table_18
2016 Hong Kong Foosball Open,Hong Kong,2016,Pro Tour,table_29
CNFT 2 - Pro Tour Nice,France,2016,Pro Tour,table_18
International Series Tornado,United States,2016,International,table_22
Riga Foos JAM | 2016,Latvia,2016,Masters,table_17
Darlington Open,United Kingdom,2016,Pro Tour,table_17
Master Series Moscow Summer open 2016,ROC,2016,Masters,table_17
Deutsch-Französische Tischfussball Tage,Germany,2016,Masters,table_16
ITSF Masters 2016,Germany,2016,ITSF Masters,table_23
World Series by Leonhart 2016,Germany,2016,WS,table_28
Malaysia Foosball Open 2016,Malaysia,2016,Masters,table_29
Nebraska State Championship,United States,2016,Masters,table_22
Championnat Canadien Bonzini 2016,Canada,2016,Masters,table_16
Pro Tour Porto 2016,Portugal,2016,Pro Tour,table_18
Primavera 2016,Argentina,2016,Pro Tour,table_104
Czech Rosengart Open,Czech Republic,2016,Pro Tour,table_19
Leonhart NRW Pro Tour Haltern,Germany,2016,Pro Tour,table_28
1. X-Bowl Tischfußball Open 2016,Austria,2016,Masters,table_17
Beijing Open 2016,China,2016,Masters,table_29
Master Series 2 - Peru Open 2016,Peru,2016,Masters,table_29
FSC Championship,Czech Republic,2016,Pro Tour,table_28
Balkan Cup Croatia 2016,Croatia,2016,Pro Tour,table_18
Izmir Open 2016,Turkey,2016,Pro Tour,table_17
Brazilian Championship 2016,Brazil,2016,International,table_23
Sofia International Series II 2016 ,Bulgaria,2016,International,table_18
Warrior South Regional ,United States,2016,Pro Tour,table_81
IV. South Bohemia Championship 2016,Czech Republic,2016,Pro Tour,table_28
North Carolina State Championships,United States,2016,Masters,table_16
PTSF Pro Tour,Pakistan,2016,Pro Tour,table_23
Romanian Bonzini Masters,Romania,2016,Masters,table_16
Copa Mar Cantabrico 2016,Spain,2016,Pro Tour,table_117
Groot Kickertornooi Borgloon 2016,Belgium,2016,Pro Tour,table_116
Multitable Championships 2016,India,2016,Pro Tour,table_23
XV Polish Garlando Championship,Poland,2016,Pro Tour,table_17
2016 China Open,China,2016,International,table_29
Colorado State Championship,United States,2016,Masters,table_22
Quebec Bonzini Pro Tour 2016,Canada,2016,Pro Tour,table_16
Master Series Montreuil s/ Mer,France,2016,Masters,table_16
Capricorn Pro Tour 2016,Switzerland,2016,Pro Tour,table_17
Minsk Masters 2016,Belarus,2016,Masters,table_17
Balkan Cup - Serbia 2016,Serbia,2016,Pro Tour,table_18
Lusitanos Open Ranking FKL 2016,Luxembourg,2016,Pro Tour,table_116
Danish Open 2016,Denmark,2016,Masters,table_16
Victorian Open Table Soccer Tournament 2016,Australia,2016,Pro Tour,table_29
Master Series 3 - Peru Open 2016,Peru,2016,Masters,table_29
Slovak Masters 2016,Slovakia,2016,Masters,table_19
TFC Kickerheadz Rotterdam Foosball Open,Netherlands,2016,Pro Tour,table_28
Australian Open 2016,Australia,2016,Masters,table_29
Sofia Grand Masters 2016,Bulgaria,2016,Masters,table_18
Czech Leonhart Open V,Czech Republic,2016,Masters,table_28
Pro Tour Nanded 2016,India,2016,Pro Tour,table_23
Simmental Open 2016,Switzerland,2016,Pro Tour,table_17
Kuwait ITSF Tour1 2016,Kuwait,2016,Pro Tour,table_23
Vitória Open,Brazil,2016,Masters,table_22
Groot Tornooi Zandhoven 2016,Belgium,2016,Pro Tour,table_116
Staatsmeisterschaft 2016 / Austrian Tablesoccer Championship 2016,Austria,2016,Masters,table_17
2016 Kaohsiung Open,Chinese Taipei,2016,International,table_29
Torneo de fin de año,Argentina,2016,Masters,table_104
Kuwait ITSF Tour2 2016,Kuwait,2016,Pro Tour,table_23
Pakistan National Championship,Pakistan,2016,Masters,table_23
Rwanda ITSF Pro Tour,Rwanda,2016,Pro Tour,table_23
Lucerne Pro Tour 2017,Switzerland,2017,Pro Tour,table_17
Hector Multitable Open 2017,Czech Republic,2017,Pro Tour,table_23
CNFT1 Pro Tour Evry,France,2017,Pro Tour,table_16
East Tokyo Open 2017,Japan,2017,Pro Tour,table_23
Montréal Bonzini Pro Tour 2017,Canada,2017,Pro Tour,table_16
SmallBalls Open 2017,Czech Republic,2017,Pro Tour,table_28
Master Series Hoenheim,France,2017,Masters,table_16
Winter Pro | Riga &#039;17,Latvia,2017,Pro Tour,table_17
Torneo Verano 2017,Argentina,2017,Pro Tour,table_104
Pielachtal Open 2017,Austria,2017,Pro Tour,table_17
Izmir Open 2017,Turkey,2017,Pro Tour,table_28
ITSF Pro Tour Haldenstein 2017,Switzerland,2017,Pro Tour,table_17
Hall Of Fame Classic,United States,2017,Masters,table_22
Czech Leonhart Championship 2017,Czech Republic,2017,Masters,table_28
Copa Ciudad de Junín 2017,Argentina,2017,Pro Tour,table_104
CNFT1 Pro Tour Segré,France,2017,Pro Tour,table_16
Québec Multitables 2017,Canada,2017,Pro Tour,table_23
19th Czech Championships 2017,Czech Republic,2017,Masters,table_19
Multitable Pro tour 2017,Slovakia,2017,Pro Tour,table_23
2nd Annual NY State Junior Team Cup &amp; Championships 2017,United States,2017,Pro Tour,table_23
ITSF World Cup and World Championships,Germany,2017,World Cup,table_23
Maryland States 2017 Foosball Championship,United States,2017,Masters,table_22
2017 Asia Foosball Classic,Chinese Taipei,2017,International,table_29
Hungarian Leonhart Open 2017,Hungary,2017,Pro Tour,table_28
Illinois State Championships,United States,2017,Masters,table_22
Copenhagen Open,Denmark,2017,Pro Tour,table_16
Goldach ITSF Masters,Switzerland,2017,Masters,table_17
Slovak Open 2017,Slovakia,2017,Pro Tour,table_19
ITSF Pro Tour Pfullingen 2017,Germany,2017,Pro Tour,table_28
World Series by Bonzini 2017,France,2017,WS,table_16
Shanghai Open 2017,China,2017,Masters,table_29
El Cotorro Buenos Aires Pro Tour,Argentina,2017,Pro Tour,table_128
PIELACHTAL MASTERS,Austria,2017,Pro Tour,table_17
Texas States Championships,United States,2017,Masters,table_22
Roznov pod Radhostem International Championship 2017,Czech Republic,2017,Pro Tour,table_28
Pro Tour Trois-Rivières 2017,Canada,2017,Pro Tour,table_16
Slovak Championships 2017,Slovakia,2017,Masters,table_19
Jago Inter Cup III 2017,,2017,Masters,table_23
Buenos Aires Open,Argentina,2017,Pro Tour,table_104
Dortmund Leonhart Masters,Germany,2017,Masters,table_28
Belarus Open 2017,Belarus,2017,Pro Tour,table_17
Torneo de Maestros 2017,Spain,2017,Pro Tour,table_117
Balkan Cup Slovenia 2017,Slovenia,2017,Pro Tour,table_18
Club Foos Amsterdam Pro Tour,Netherlands,2017,Pro Tour,table_28
West Coast Regional,United States,2017,Pro Tour,table_81
Pro tour Open D&#039;Italia,Italy,2017,Pro Tour,table_18
Garlando World Series 2017,Austria,2017,WS,table_17
National Foosball Championships,United States,2017,Masters,table_22
Greater Greensboro Foosball Open,United States,2017,Pro Tour,table_16
TORNEO MASTER CASWAL,Argentina,2017,Masters,table_104
Varna Foosball Open II,,2017,Pro Tour,table_29
PRO TOUR PERU OPEN 1,Peru,2017,Pro Tour,table_29
Lake Challenger 2017,Austria,2017,Masters,table_17
Szeligi Open Game,Poland,2017,Pro Tour,table_17
Torneo Villa Parque Síquiman,Argentina,2017,Masters,table_128
East Coast Regional,United States,2017,Pro Tour,table_81
UK Garlando Open 2017,United Kingdom,2017,Masters,table_17
Campeonato Sudamericano de Futbol de Mesa / Bolivia - 2017,Bolivia,2017,Pro Tour,table_23
Pro Tour Delhi Multi-table Championship,India,2017,Pro Tour,table_23
Simmental Open 2017,Switzerland,2017,Masters,table_17
IFP Tornado Championships,United States,2017,International,table_22
The Open Danish Championships,Denmark,2017,Masters,table_16
Seoul Open,South Korea,2017,Pro Tour,table_29
Deutsch-Französische Tischfussball Tage,Germany,2017,Masters,table_16
European Champions League 2017,Germany,2017,ECL,table_23
World Series by Leonhart 2017,Germany,2017,WS,table_28
St. Petersburg Master Series  Open 2017,ROC,2017,Masters,table_17
Pro Tour Museu da Lousa | Valongo,Portugal,2017,Pro Tour,table_18
ITSF Master Series Hanshan,China,2017,Masters,table_127
Championnat Canadien Bonzini,Canada,2017,Masters,table_16
Sofia Grand Masters X 2017,,2017,Masters,table_18
43rd Annual NC State Foosball Championship,United States,2017,Masters,table_16
Dortmund Leonhart Pro Tour,Germany,2017,Pro Tour,table_28
Riga Foos JAM | 2017,Latvia,2017,Masters,table_17
Romanian Bonzini Masters,Romania,2017,Masters,table_16
Pro Tour Saint-Aignan-de-Grandlieu 2017,France,2017,Pro Tour,table_16
Turkey Leonhart Open 2017,Turkey,2017,Masters,table_28
Balkan Cup Croatia 2017,Croatia,2017,Pro Tour,table_18
Championships of region Presov 2017/18,Slovakia,2017,Pro Tour,table_19
Club Foos Amsterdam Pro Tour,Netherlands,2017,Pro Tour,table_28
COPA AMERICA ITSF 2017,Peru,2017,International,table_23
South Regional,United States,2017,Masters,table_81
2017 China Yihua Cup Table Soccer Open &amp; China Junior Table Soccer Championships,China,2017,International,table_29
Pro tour Lega a squadre,Italy,2017,Pro Tour,table_18
Polish Garlando Championships,Poland,2017,Pro Tour,table_17
Austrian National Championships ,Austria,2017,Masters,table_17
ITSF Pro Tour Speedball &amp; Classic Championship 2017,India,2017,Pro Tour,table_23
Victorian Open,Australia,2017,Pro Tour,table_29
Groot kickertornooi Borgloon,Belgium,2017,Pro Tour,table_116
Colorado States,United States,2017,Masters,table_22
Minsk Masters 2017,Belarus,2017,Masters,table_17
2017 Kaohsiung Open,Chinese Taipei,2017,Masters,table_29
Majeur Provincial Bonzini de Québec,Canada,2017,Pro Tour,table_16
CZECH OPEN 2017,Czech Republic,2017,Pro Tour,table_19
Master Series Montreuil sur Mer 2017,France,2017,Masters,table_16
West Tokyo Open,Japan,2017,Pro Tour,table_23
2017 Hong Kong Open,Hong Kong,2017,Pro Tour,table_29
North Carolina Classic,United States,2017,Pro Tour,table_22
Slovak Masters 2017/18,Slovakia,2017,Masters,table_19
Pro Tour Moscow open 2017,ROC,2017,Pro Tour,table_17
Rotterdam Foosball Open,Netherlands,2017,Masters,table_28
Australian Open,Australia,2017,Masters,table_29
Balkan Cup Serbia 2017,Serbia,2017,Pro Tour,table_18
Czech LEONHART Open VI,Czech Republic,2017,Masters,table_28
The London Open,United Kingdom,2017,Pro Tour,table_17
Ukrainian Open,Ukraine,2017,Masters,table_17
Beijing Foosball Pro Tour 2017,China,2017,Pro Tour,table_127
Pro Tour ITSF 2017 Sintra,Portugal,2017,Pro Tour,table_18
OPEN DOUBLE D&#039;ENGHIEN,Belgium,2017,Pro Tour,table_23
Classic &amp; Speedball Trophy,Switzerland,2017,Pro Tour,table_17
Copa de Navidad 2017,Spain,2017,Pro Tour,table_28
MASTER SERIES PERU OPEN 2017 - CAMPEONATO NACIONAL 2017,Peru,2017,Masters,table_29
Jahreseröffnungsturnier 2018,Switzerland,2018,Masters,table_17
CNFT1 Pro Tour Evry 2018,France,2018,Pro Tour,table_16
Montréal Pro Tour 2018,Canada,2018,Pro Tour,table_16
SmallBalls Open 2018,Czech Republic,2018,Pro Tour,table_28
CNFT1 Pro Tour Segré 2018,France,2018,Pro Tour,table_16
St.Pölten Open ,Austria,2018,Pro Tour,table_17
Championships of region Trnava 2017/18,Slovakia,2018,Pro Tour,table_19
Winter Pro Riga | 2018,Latvia,2018,Pro Tour,table_17
Multitable Pro tour 2017/18,Slovakia,2018,Pro Tour,table_23
2º Gran Open Ciudad de Logroño,Spain,2018,Pro Tour,table_129
Master Series Hoenheim 2018,France,2018,Masters,table_16
Haldenstein Masters 2018,Switzerland,2018,Masters,table_17
Q8foosball ITSF Tour,Kuwait,2018,Pro Tour,table_22
Polish Leonhart Championships,Poland,2018,Masters,table_28
Czech LEONHART Championship 2018,Czech Republic,2018,Masters,table_28
Hall of Fame Classic,United States,2018,International,table_22
ITSF World Masters,United States,2018,ITSF Masters,table_23
Inter Continental Cup 2018,United States,2018,InterCCup,table_23
Storm Riders Open,Bulgaria,2018,Pro Tour,table_18
ChampFoos Bonzini Open,United Kingdom,2018,Pro Tour,table_16
Seiersberg Open ,Austria,2018,Pro Tour,table_17
20th CZECH CHAMPIONSHIPS,Czech Republic,2018,Masters,table_19
Seoul Open,South Korea,2018,Pro Tour,table_29
Québec Pro-Tour 2018,Canada,2018,Pro Tour,table_16
PTSF Pro-Tour,Pakistan,2018,Pro Tour,table_23
OPEN DE BILBAO,Spain,2018,Pro Tour,table_129
Championships of region Bratislava 2017/18,Slovakia,2018,Pro Tour,table_19
World Series by Tecno 2018,Spain,2018,WS,table_129
Goldach Pro Tour 2018,Switzerland,2018,Pro Tour,table_17
World Series by Bonzini 2018,France,2018,WS,table_16
Q8foosball Wawan Tour,Kuwait,2018,Pro Tour,table_22
Hungarian Leonhart Open 2018,Hungary,2018,Pro Tour,table_28
Pro Tour Open d&#039;Italia,Italy,2018,Pro Tour,table_18
West Tokyo Open,Japan,2018,Pro Tour,table_23
Torneo Nacional de Futbolmesa Pinares 2018,Mexico,2018,Pro Tour,table_23
Dortmund Masters,Germany,2018,Masters,table_28
Roznov Championship - Pro Tour,Czech Republic,2018,Pro Tour,table_28
PRO TOUR PORTO,Portugal,2018,Pro Tour,table_18
Slovak Rosengart Championships 2018,Slovakia,2018,Masters,table_19
Jago Inter cup IV - Blagoevgrad,Bulgaria,2018,Pro Tour,table_23
Tournoi Majeur Provincial Trois-Rivières,Canada,2018,Pro Tour,table_16
Pfullingen Pro Tour,Germany,2018,Pro Tour,table_28
World Series by Garlando 2018,Austria,2018,WS,table_17
Malaysia Foosball Open 2018,Malaysia,2018,Masters,table_29
Maryland State Championships,United States,2018,Pro Tour,table_22
Western Canadian Foosball Championships,Canada,2018,Pro Tour,table_22
LAKE Challenger 2018,Austria,2018,Masters,table_17
Varna Foosball Open 2018,Bulgaria,2018,Pro Tour,table_23
Neuwied Pro Tour,Germany,2018,Pro Tour,table_131
Kirin Beijing Open 2018,China,2018,Pro Tour,table_29
Warrior Summer Splash,United States,2018,Pro Tour,table_81
IFP Tornado Championships,United States,2018,International,table_22
Simmental Open,Switzerland,2018,Pro Tour,table_17
Monterrey Open 2018,Mexico,2018,Pro Tour,table_17
The Open Danish Championships 2018,Denmark,2018,Masters,table_16
Copa de La Vendimia,Spain,2018,International,table_129
Deutsch-Französische Tischfussball Tage,Germany,2018,Masters,table_16
World Series by Leonhart 2018,Germany,2018,WS,table_28
Balkan Cup Slovenija 2018,Slovenia,2018,Pro Tour,table_17
Pro Tour LICB Frosinone,Italy,2018,Pro Tour,table_18
PRO TOUR SANTIAGO DE CHILE,Chile,2018,Pro Tour,table_22
Buchs Pro Tour,Switzerland,2018,Pro Tour,table_17
2018 Taiwan Open,Chinese Taipei,2018,Pro Tour,table_29
Sofia Grand Masters XI 2018,Bulgaria,2018,Masters,table_23
Hessen Pro Tour,Germany,2018,Pro Tour,table_28
Århus Open 2018,Denmark,2018,Pro Tour,table_16
Slovak Masters 2018_ROSENGART,Slovakia,2018,Masters,table_19
Balkan Cup Croatia 2018,Croatia,2018,Pro Tour,table_23
Mississippi State Championships,United States,2018,Pro Tour,table_22
Championnat Canadien Bonzini,Canada,2018,Masters,table_16
Club Foos Pro Tour,Netherlands,2018,Pro Tour,table_28
Groot Kickertornooi Borgloon,Belgium,2018,Pro Tour,table_116
Q8Foosball ITSF Tour,Kuwait,2018,Pro Tour,table_22
Pro Tour FTSI Championship 2018,India,2018,Pro Tour,table_23
Costa Rica Open,Costa Rica,2018,International,table_22
Darlington Open III,United Kingdom,2018,Pro Tour,table_17
Copa Tierra Estella Villa de los Arcos,Spain,2018,International,table_129
FSČ Lovo Open,Czech Republic,2018,Pro Tour,table_28
World Series by Roberto Sport 2018,Italy,2018,WS,table_18
South Carolina State Championships,United States,2018,Pro Tour,table_16
St. Petersburg ITSF Pro Tour Open 2018,ROC,2018,Pro Tour,table_17
Austrian National Championships ,Austria,2018,Masters,table_17
Colorado State Championships,United States,2018,Masters,table_22
Master Series Montreuil sur Mer 2018,France,2018,Masters,table_16
Louisiana State Championships,United States,2018,Masters,table_22
2018 China Table Soccer Open &amp; China Junior Table Soccer Championship,China,2018,International,table_23
PRO TOUR 2018 - 1,Peru,2018,Pro Tour,table_29
CZECH OPEN 2018,Czech Republic,2018,Pro Tour,table_19
Tokyo Open 2018,Japan,2018,Pro Tour,table_23
&quot;Niki-Adams&quot; Masters Series 2018,Bulgaria,2018,Masters,table_18
KickerKicker Leo Tour 2018,Ukraine,2018,Pro Tour,table_28
Australian Nationals 2018,Australia,2018,Pro Tour,table_29
 European Champions League 2018,Serbia,2018,ECL,table_23
Czech LEONHART Open VII,Czech Republic,2018,Masters,table_28
Pro Tour Delhi Multi Table Championship 2018,India,2018,Pro Tour,table_23
Argentina 2018,Argentina,2018,Pro Tour,table_128
Turkey National Leonhart Championship 2018,Turkey,2018,Pro Tour,table_28
Pro Tour Lisboa,Portugal,2018,Pro Tour,table_18
